types,counts,probs,total_unique
Kamryn,674,3.995350218529059e-4,18029
Mira,672,3.983494579898409e-4,18029
Cheyenne,670,3.971638941267759e-4,18029
Francesca,668,3.959783302637109e-4,18029
Antonella,661,3.918288567429834e-4,18029
Wren,661,3.918288567429834e-4,18029
Chelsea,659,3.906432928799184e-4,18029
Amber,658,3.900505109483859e-4,18029
Emory,654,3.876793832222559e-4,18029
Lorelei,654,3.876793832222559e-4,18029
Nia,654,3.876793832222559e-4,18029
Abby,653,3.870866012907234e-4,18029
April,653,3.870866012907234e-4,18029
Emelia,653,3.870866012907234e-4,18029
Carter,652,3.8649381935919086e-4,18029
Aylin,651,3.859010374276584e-4,18029
Cataleya,651,3.859010374276584e-4,18029
Bethany,650,3.853082554961259e-4,18029
Marlee,650,3.853082554961259e-4,18029
Carly,647,3.835299097015284e-4,18029
Kaylani,647,3.835299097015284e-4,18029
Emely,646,3.829371277699959e-4,18029
Liana,643,3.811587819753984e-4,18029
Madelynn,642,3.805660000438659e-4,18029
Cadence,639,3.7878765424926837e-4,18029
Matilda,635,3.7641652652313837e-4,18029
Sylvia,631,3.7404539879700837e-4,18029
Myra,629,3.7285983493394334e-4,18029
Fernanda,627,3.7167427107087837e-4,18029
Oaklyn,627,3.7167427107087837e-4,18029
Elianna,626,3.7108148913934583e-4,18029
Hattie,624,3.6989592527628085e-4,18029
Dayana,622,3.6871036141321583e-4,18029
Kendra,622,3.6871036141321583e-4,18029
Maisie,622,3.6871036141321583e-4,18029
Malaysia,622,3.6871036141321583e-4,18029
Kara,616,3.6515366982402085e-4,18029
Katelyn,616,3.6515366982402085e-4,18029
Maia,614,3.639681059609558e-4,18029
Celine,613,3.6337532402942334e-4,18029
Cameron,612,3.627825420978908e-4,18029
Renata,611,3.621897601663583e-4,18029
Jayleen,609,3.6100419630329334e-4,18029
Charli,608,3.604114143717608e-4,18029
Emmalyn,608,3.604114143717608e-4,18029
Holly,608,3.604114143717608e-4,18029
Azalea,607,3.598186324402283e-4,18029
Leona,607,3.598186324402283e-4,18029
Alejandra,605,3.5863306857716334e-4,18029
Bristol,605,3.5863306857716334e-4,18029
Collins,604,3.580402866456308e-4,18029
Imani,603,3.574475047140983e-4,18029
Meadow,602,3.568547227825658e-4,18029
Alexia,600,3.556691589195008e-4,18029
Edith,599,3.550763769879683e-4,18029
Kaydence,599,3.550763769879683e-4,18029
Leslie,597,3.538908131249033e-4,18029
Lilith,597,3.538908131249033e-4,18029
Kora,596,3.532980311933708e-4,18029
Aisha,595,3.527052492618383e-4,18029
Meredith,595,3.527052492618383e-4,18029
Danna,593,3.515196853987733e-4,18029
Wynter,591,3.503341215357083e-4,18029
Emberly,589,3.491485576726433e-4,18029
Julieta,588,3.485557757411108e-4,18029
Michaela,588,3.485557757411108e-4,18029
Alayah,586,3.4737021187804576e-4,18029
Jemma,586,3.4737021187804576e-4,18029
Reign,586,3.4737021187804576e-4,18029
Colette,585,3.467774299465133e-4,18029
Kaliyah,585,3.467774299465133e-4,18029
Elliott,583,3.455918660834483e-4,18029
Johanna,582,3.4499908415191576e-4,18029
Remy,581,3.444063022203833e-4,18029
Sutton,581,3.444063022203833e-4,18029
Emmy,580,3.438135202888508e-4,18029
Virginia,578,3.4262795642578576e-4,18029
Briana,572,3.390712648365908e-4,18029
Oaklynn,572,3.390712648365908e-4,18029
Adelina,566,3.3551457324739576e-4,18029
Everlee,566,3.3551457324739576e-4,18029
Megan,564,3.3432900938433073e-4,18029
Angelica,562,3.3314344552126576e-4,18029
Justice,561,3.3255066358973327e-4,18029
Mariam,561,3.3255066358973327e-4,18029
Khaleesi,560,3.3195788165820073e-4,18029
Macie,558,3.3077231779513576e-4,18029
Karsyn,557,3.3017953586360327e-4,18029
Alanna,556,3.2958675393207073e-4,18029
Aleah,556,3.2958675393207073e-4,18029
Mae,556,3.2958675393207073e-4,18029
Mallory,556,3.2958675393207073e-4,18029
Esme,552,3.2721562620594073e-4,18029
Skyla,552,3.2721562620594073e-4,18029
Madilynn,551,3.2662284427440824e-4,18029
Charley,550,3.2603006234287576e-4,18029
Allyson,549,3.254372804113432e-4,18029
Hanna,549,3.254372804113432e-4,18029
Shiloh,548,3.2484449847981073e-4,18029
Henley,547,3.2425171654827824e-4,18029
Macy,547,3.2425171654827824e-4,18029
Maryam,545,3.230661526852132e-4,18029
Ivanna,544,3.2247337075368073e-4,18029
Ashlynn,543,3.2188058882214824e-4,18029
Lorelai,539,3.1950946109601824e-4,18029
Amora,538,3.189166791644857e-4,18029
Ashlyn,538,3.189166791644857e-4,18029
Sasha,536,3.177311153014207e-4,18029
Baylee,535,3.1713833336988824e-4,18029
Beatrice,535,3.1713833336988824e-4,18029
Itzel,532,3.153599875752907e-4,18029
Priscilla,532,3.153599875752907e-4,18029
Marie,530,3.141744237122257e-4,18029
Jayda,529,3.135816417806932e-4,18029
Liberty,529,3.135816417806932e-4,18029
Rory,529,3.135816417806932e-4,18029
Alessia,528,3.129888598491607e-4,18029
Alaia,524,3.106177321230307e-4,18029
Janelle,524,3.106177321230307e-4,18029
Kalani,523,3.100249501914982e-4,18029
Gloria,521,3.088393863284332e-4,18029
Sloan,519,3.076538224653682e-4,18029
Dorothy,517,3.064682586023032e-4,18029
Greta,517,3.064682586023032e-4,18029
Julie,516,3.058754766707707e-4,18029
Zahra,516,3.058754766707707e-4,18029
Savanna,515,3.052826947392382e-4,18029
Annabella,514,3.046899128077057e-4,18029
Poppy,513,3.040971308761732e-4,18029
Amalia,510,3.023187850815757e-4,18029
Zaylee,508,3.0113322121851066e-4,18029
Cecelia,507,3.005404392869782e-4,18029
Coraline,507,3.005404392869782e-4,18029
Kimber,506,2.999476573554457e-4,18029
Emmie,505,2.993548754239132e-4,18029
Anne,504,2.9876209349238066e-4,18029
Karina,504,2.9876209349238066e-4,18029
Kassidy,504,2.9876209349238066e-4,18029
Kynlee,502,2.975765296293157e-4,18029
Monroe,500,2.9639096576625066e-4,18029
Anahi,496,2.9401983804012066e-4,18029
Jaliyah,496,2.9401983804012066e-4,18029
Jazmin,496,2.9401983804012066e-4,18029
Maren,495,2.934270561085882e-4,18029
