types,counts,probs,total_unique
Damian,286,1.6450140257576987e-4,4742
Doyle,285,1.6392622284648394e-4,4742
Donovan,283,1.6277586338791215e-4,4742
Delbert,282,1.6220068365862622e-4,4742
Dominick,282,1.6220068365862622e-4,4742
Kris,282,1.6220068365862622e-4,4742
Rolando,281,1.6162550392934033e-4,4742
Stevie,280,1.610503242000544e-4,4742
Van,278,1.598999647414826e-4,4742
Boyd,272,1.5644888636576714e-4,4742
Cesar,270,1.5529852690719531e-4,4742
Rudolph,270,1.5529852690719531e-4,4742
Abel,266,1.529978079900517e-4,4742
Lionel,266,1.529978079900517e-4,4742
Marcos,265,1.5242262826076577e-4,4742
Morgan,264,1.5184744853147987e-4,4742
Dino,263,1.5127226880219397e-4,4742
Hubert,258,1.4839637015576443e-4,4742
Sylvester,258,1.4839637015576443e-4,4742
Abraham,257,1.478211904264785e-4,4742
Felipe,257,1.478211904264785e-4,4742
Wilbert,256,1.472460106971926e-4,4742
Dane,255,1.4667083096790668e-4,4742
Leland,254,1.4609565123862079e-4,4742
Ismael,253,1.455204715093349e-4,4742
Simon,251,1.4437011205076307e-4,4742
Horace,249,1.4321975259219124e-4,4742
Darron,248,1.4264457286290534e-4,4742
Donnell,248,1.4264457286290534e-4,4742
Vaughn,247,1.4206939313361942e-4,4742
Cornelius,246,1.4149421340433352e-4,4742
Kip,246,1.4149421340433352e-4,4742
Sterling,246,1.4149421340433352e-4,4742
Antoine,245,1.409190336750476e-4,4742
Kurtis,245,1.409190336750476e-4,4742
Rocky,243,1.397686742164758e-4,4742
Guadalupe,242,1.3919349448718988e-4,4742
Hans,242,1.3919349448718988e-4,4742
Reynaldo,242,1.3919349448718988e-4,4742
Conrad,237,1.3631759584076033e-4,4742
Marlon,236,1.3574241611147444e-4,4742
Erich,235,1.3516723638218854e-4,4742
Grady,234,1.345920566529026e-4,4742
Rod,233,1.3401687692361671e-4,4742
Jean,231,1.328665174650449e-4,4742
Willis,231,1.328665174650449e-4,4742
Ramiro,230,1.32291337735759e-4,4742
Mack,229,1.3171615800647307e-4,4742
Tomas,227,1.3056579854790125e-4,4742
Wilson,227,1.3056579854790125e-4,4742
Denis,225,1.2941543908932945e-4,4742
